Python
Java
C
C++
JavaScript
HTML
CSS
React
SQL
Machine Learning
Deep Learning
Data Analytics
Generative AI
Artificial Intelligence
TensorFlow
PyTorch
Pandas
NumPy
Git
GitHub
Docker
AWS
Jupyter Notebook
VS Code
Streamlit
